vin,timestamp,end_time,odo,end_odo,soc,end_soc,event,charge_mode
-8.99632e+18,2021-01-01 20:31:00,2021-01-01 20:38:00,4436.640625,4439.46875,56.4,54.9,trip,0
-8.99632e+18,2021-01-01 20:39:00,2021-01-02 15:13:00,4439.46875,4439.46875,54.9,100.0,charge,240
-8.99632e+18,2021-01-02 15:21:00,2021-01-02 17:46:00,4442.5,4457.125,100.0,94.5,trip,0
-8.99632e+18,2021-01-02 18:18:00,2021-01-02 18:19:00,4461.45,4461.48375,94.1,94.1,trip,0
-8.99632e+18,2021-01-02 21:28:00,2021-01-02 21:47:00,4461.48375,4480.75,93.7,89.4,trip,0
-8.99632e+18,2021-01-03 14:08:00,2021-01-03 15:01:00,4480.75,4560.171875,89.0,70.1,trip,0
-8.99632e+18,2021-01-03 15:18:00,2021-01-03 15:21:00,4560.171875,4560.359375,70.1,70.1,trip,0
-8.99632e+18,2021-01-03 19:35:00,2021-01-03 21:04:00,4560.359375,4656.9375,70.5,43.9,trip,0
-8.99632e+18,2021-01-03 21:17:00,2021-01-03 21:18:00,4656.9375,4658.234375,43.5,43.5,trip,0
-8.99632e+18,2021-01-03 21:18:00,2021-01-03 21:56:00,4658.234375,4658.234375,43.5,46.6,charge,240
-8.99632e+18,2021-01-03 21:56:00,2021-01-03 22:00:00,4658.234375,4658.234375,46.6,46.6,trip,0
-8.99632e+18,2021-01-03 22:01:00,2021-01-03 22:08:00,4658.921875,4662.390625,46.6,45.4,trip,0
-8.99632e+18,2021-01-04 17:45:00,2021-01-04 17:51:00,4662.390625,4665.203125,45.8,45.0,trip,0
-8.99632e+18,2021-01-04 18:16:00,2021-01-05 01:28:00,4667.953125,4667.953125,44.3,72.5,charge,240
-8.99632e+18,2021-01-05 01:28:00,2021-01-05 02:39:00,4667.953125,4768.390625,72.5,48.6,trip,0
-8.99632e+18,2021-01-05 03:00:00,2021-01-05 04:01:00,4768.390625,4865.609375,48.2,16.4,trip,0
-8.99632e+18,2021-01-05 11:47:00,2021-01-05 11:56:00,4865.609375,4868.421875,16.8,16.0,trip,0
-8.99632e+18,2021-01-05 11:59:00,2021-01-05 17:05:00,4868.421875,4868.421875,16.0,58.4,charge,240
-8.99632e+18,2021-01-05 17:05:00,2021-01-05 17:12:00,4868.421875,4870.953125,58.4,58.8,trip,0
-8.99632e+18,2021-01-05 18:28:00,2021-01-05 18:48:00,4870.953125,4880.484375,59.2,58.4,trip,0
-8.99632e+18,2021-01-05 18:52:00,2021-01-05 18:54:00,4880.484375,4880.484375,58.0,59.6,charge,DCCharging
-8.99632e+18,2021-01-05 18:54:00,2021-01-05 19:29:00,4880.484375,4880.484375,59.6,81.1,charge,DCCharging
-8.99632e+18,2021-01-05 19:29:00,2021-01-05 20:28:00,4880.484375,4973.09375,81.1,60.7,trip,0
-8.99632e+18,2021-01-05 20:28:00,2021-01-05 20:31:00,4973.09375,4973.25,60.7,60.7,trip,0
-8.99632e+18,2021-01-05 20:31:00,2021-01-05 20:34:00,4973.25,4974.078125,60.7,60.3,trip,0
-8.99632e+18,2021-01-06 14:39:00,2021-01-06 15:11:00,4975.34375,4975.34375,59.6,64.3,charge,240
-8.99632e+18,2021-01-06 15:11:00,2021-01-06 15:34:00,4975.34375,4981.546875,64.3,62.3,trip,0
-8.99632e+18,2021-01-06 15:34:00,2021-01-06 15:35:00,4981.546875,4981.5625,62.3,62.3,trip,0
-8.99632e+18,2021-01-06 15:35:00,2021-01-06 18:10:00,4981.5625,4998.109375,62.3,59.6,trip,0
-8.99632e+18,2021-01-06 18:10:00,2021-01-06 18:13:00,4998.109375,4998.59375,59.6,59.6,trip,0
-8.99632e+18,2021-01-06 18:13:00,2021-01-06 18:37:00,4998.59375,5000.78125,59.6,58.8,trip,0
-8.99632e+18,2021-01-06 18:37:00,2021-01-06 19:04:00,5000.78125,5006.25,58.8,58.4,trip,0
-8.99632e+18,2021-01-06 19:09:00,2021-01-06 19:12:00,5006.25,5007.3125,57.6,57.6,trip,0
-8.99632e+18,2021-01-06 19:12:00,2021-01-06 19:14:00,5007.3125,5007.5,57.6,57.6,trip,0
-8.99632e+18,2021-01-06 19:35:00,2021-01-06 19:36:00,5007.5,5008.265625,68.6,68.6,trip,0
-8.99632e+18,2021-01-06 20:55:00,2021-01-06 21:08:00,5010.078125,5015.25,68.2,67.0,trip,0
-8.99632e+18,2021-01-06 21:17:00,2021-01-06 21:28:00,5015.25,5024.5625,66.6,64.7,trip,0
-8.99632e+18,2021-01-06 21:46:00,2021-01-06 21:50:00,5024.5625,5025.71875,63.9,63.9,trip,0
-8.99632e+18,2021-01-07 10:24:00,2021-01-07 10:52:00,5025.71875,5047.5,63.5,57.6,trip,0
-8.99632e+18,2021-01-07 13:34:00,2021-01-07 14:10:00,5047.5,5070.328125,56.4,52.5,trip,0
-8.99632e+18,2021-01-07 19:12:00,2021-01-07 19:53:00,5070.328125,5086.34375,51.7,49.4,trip,0
-8.99632e+18,2021-01-07 20:54:00,2021-01-07 21:01:00,5086.34375,5088.5,49.0,48.6,trip,0
-8.99632e+18,2021-01-07 21:49:00,2021-01-08 08:04:00,5088.5,5105.359375,78.4,74.1,trip,0
-8.99632e+18,2021-01-08 08:04:00,2021-01-08 08:57:00,5105.359375,5189.65625,74.1,44.3,trip,0
-8.99632e+18,2021-01-08 10:56:00,2021-01-08 11:13:00,5189.65625,5201.6875,43.5,40.0,trip,0
-8.99632e+18,2021-01-08 11:13:00,2021-01-08 13:23:00,5201.6875,5201.765625,40.0,40.3,trip,0
-8.99632e+18,2021-01-08 13:23:00,2021-01-08 13:30:00,5201.765625,5204.515625,40.3,40.0,trip,0
-8.99632e+18,2021-01-08 13:31:00,2021-01-08 22:44:00,5204.515625,5204.515625,40.0,100.0,charge,240
-8.99632e+18,2021-01-09 10:00:00,2021-01-09 10:49:00,5207.25,5286.109375,100.0,78.4,trip,0
-8.99632e+18,2021-01-09 13:45:00,2021-01-09 13:48:00,5286.109375,5287.15625,77.6,77.6,trip,0
